"x","y"
967830.9,1942426
967796.9,1942425.9
967804.7,1942457.9
967817.3,1942529.9
967811.3,1942540.9
967800.3,1942544.8
967792.3,1942544.8
967785.3,1942543.8
967737.3,1942536.5
967708.4,1942523.4
967651.5,1942505.1
967596.6,1942484.8
967596.6,1942484.8
967576.7,1942478.7
967561.7,1942480.6
967475.5,1942524.1
967431.4,1942546.9
967391.3,1942571.7
967391.3,1942571.7
967374.2,1942581.6
967370.2,1942588.6
967473.8,1942839
967506.5,1942888.2
967536.3,1942922.3
967536.3,1942922.3
967649.7,1943040.9
967655.6,1943053.9
967655.5,1943066.9
967652.5,1943081.9
967590.2,1943132.5
967573.2,1943135.4
967566.2,1943134.4
967558.2,1943128.4
967547.3,1943118.3
967540.4,1943108.3
967540.4,1943108.3
967411.1,1942968.6
967411.1,1942968.6
967289.9,1942839
967216.3,1942759.7
967198.4,1942744.6
967198.4,1942744.6
967190.4,1942738.5
967156.6,1942721.4
967126.6,1942711.2
966988.7,1942696.5
966977.7,1942705.4
966969.2,1942791.4
966969.2,1942791.4
966960.6,1942907.3
966963.4,1942949.3
966982,1943020.3
967035.3,1943160.6
967035.3,1943160.6
967145.7,1943455.1
967163.4,1943497.1
967228.4,1943690.4
967228.4,1943690.4
967257.9,1943779.5
967260.8,1943798.5
967259.7,1943818.5
967253.6,1943829.5
967242.6,1943834.4
967231.6,1943836.4
967220.6,1943834.3
967199.7,1943826.2
967187.7,1943817.2
967147.9,1943790.9
967147.9,1943790.9
966974.6,1943676.1
966955.5,1943681
966882,1943789.5
966882,1943789.5
966862.8,1943817.4
966829.6,1943868.2
966735.9,1944005.7
966713.8,1944030.6
966692.8,1944034.5
966666.8,1944031.3
966602.1,1943983
966602.1,1943983
966512.4,1943916.5
966458.7,1943880.3
966392.9,1943835.9
966392.9,1943835.9
966332.2,1943794.6
966301.1,1943797.5
966161.2,1943991.7
966161.2,1943991.7
965691,1944625.9
965691,1944625.9
965524.9,1944842
965433.2,1944976.4
965433.2,1944976.4
965163.4,1945345.9
965163.4,1945345.9
964939.8,1945660.6
964841.9,1945829
964809.7,1945876.8
964739.1,1945996.4
964710.9,1946028.2
964685.8,1946051.1
964652.7,1946069.9
964608.7,1946074.7
964563.8,1946058.4
964430,1946025.7
964430,1946025.7
964397.1,1946006.6
964310.2,1945989.1
964270.3,1945981.9
964118.4,1945963.1
964118.4,1945963.1
963949.6,1945944.2
963715.8,1945916
963684.9,1945912.8
963631.9,1945908.6
963591.9,1945908.4
963527.9,1945917
963527.9,1945917
963397.9,1945918.3
963335.9,1945922
963169.9,1945936.1
963169.9,1945936.1
963045,1945937.4
962836,1945953.3
962836,1945953.3
962769,1945950
962694.1,1945940.6
962341.6,1945867.7
962189.8,1945841.9
962189.8,1945841.9
962093.9,1945816.4
962042,1945808.2
961817.3,1945768
961693.5,1945742.3
961669.5,1945733.2
961629.6,1945717
961629.6,1945717
961470,1945654.2
961450,1945658.1
961413,1945670.9
961392.9,1945681.8
961340.3,1945805.5
961340.3,1945805.5
961129.7,1946302.2
961129.7,1946302.2
960898,1946835.7
960877.9,1946849.6
960860.9,1946857.5
960831.9,1946858.4
960807.9,1946850.3
960787,1946845.1
960787,1946845.1
960609.2,1946807.2
960412.5,1946764.2
960412.5,1946764.2
960281.7,1946734.5
959992.2,1946670
959992.2,1946670
959789.5,1946624.9
959596.8,1946583.9
959596.8,1946583.9
959475,1946555.3
959466,1946560.2
959454.7,1946604.2
959440.5,1946656.1
959440.5,1946656.1
959363,1946926.6
959337.6,1947015.4
959337.6,1947015.4
959294.8,1947162.1
959287.6,1947204.1
959297.4,1947237.1
