"x","y"
963227.8,1960644.1
963218.7,1960662.1
963206.7,1960678
963194.6,1960694
963185.5,1960705.9
963160.3,1960741.7
963150.3,1960756.7
963152.2,1960766.7
963140,1960796.6
963120.9,1960820.5
963110.9,1960828.5
963110.9,1960828.5
963092.8,1960842.4
963062.7,1960872.2
963022.5,1960899
963003.5,1960909.9
962998.5,1960916.8
963007.2,1960973.9
963007.2,1960973.9
963022.7,1961053.9
963036.3,1961138
963043.1,1961176
963043.1,1961176
963056.5,1961286
963051.4,1961300
963042.3,1961313.9
963028.3,1961324.8
962998.3,1961327.7
962998.3,1961327.7
962719.3,1961334.2
962719.3,1961334.2
962686.3,1961335
962669.4,1961329.9
962653.5,1961315.8
962645.6,1961296.8
962642,1961216.8
962642,1961216.8
962635.1,1961010.9
962623.1,1961000.8
962611.2,1960997.7
962595.2,1960994.7
962566.2,1960991.5
962548.2,1960990.4
962508.2,1960992.2
962407.2,1960997.7
962407.2,1960997.7
962175.3,1961009.4
962175.3,1961009.4
962093.3,1961013
962071.3,1961007.9
962062.4,1960998.8
962055.4,1960983.8
962055.6,1960945.8
962056.8,1960912.8
962056.8,1960912.8
962057.9,1960905.8
962114.7,1960740.2
962135,1960685.3
962185.7,1960551.6
962185.7,1960551.6
962207,1960494.8
962201.1,1960482.7
962107.4,1960429.3
962081.5,1960416.1
962057.5,1960406
961985.7,1960380.6
961985.7,1960380.6
961924.8,1960360.3
961854,1960334
961854,1960334
961722.3,1960287.3
961706.3,1960277.2
961698.4,1960267.1
961694.5,1960253.1
961694.5,1960238.1
961729,1960140.4
961750.4,1960077.5
961750.4,1960077.5
961854.9,1959782.2
961854.9,1959782.2
961881.3,1959708.3
961880.3,1959701.3
961874.4,1959693.3
961824.6,1959657
961783.8,1959623.8
961783.8,1959623.8
961606.6,1959480.9
961606.6,1959480.9
961467.2,1959375.2
961298.9,1959247.4
961298.9,1959247.4
961269.1,1959223.2
961234.9,1959267
961234.9,1959267
961179.5,1959337.7
961112.1,1959421.3
961109,1959431.3
961112.8,1959472.3
961112.8,1959472.3
961115.6,1959508.3
961146.5,1959531.5
961150.5,1959532.5
961152.5,1959531.5
961196.7,1959482.8
961227.9,1959451.9
961367.7,1959295.7
961405.9,1959252
961422,1959226.1
961436.2,1959197.1
961444.3,1959166.2
961466.9,1959060.4
961489.3,1958970.5
961517.8,1958886.7
961517.8,1958886.7
961536,1958840.8
961564.3,1958788
961578.4,1958769.1
961599.5,1958743.2
961682,1958652.6
961682,1958652.6
961725.2,1958605.9
961767.4,1958561.1
961786.5,1958537.2
961809.7,1958508.4
961809.7,1958508.4
961840.9,1958457.6
961856.1,1958429.6
961875.3,1958385.8
961882.4,1958364.8
961882.4,1958364.8
961921,1958253.1
961982.9,1958088.4
961982.9,1958088.4
961994,1958056.5
962003.2,1958025.6
962017.5,1957955.7
962024.7,1957920.7
962035,1957863.8
962035,1957863.8
962036.1,1957852.8
962039.2,1957825.8
962038.7,1957732.9
962038.7,1957732.9
962035.3,1957617.9
962037,1957486.9
962030.1,1957477.9
961992.1,1957468.7
961992.1,1957468.7
961901.3,1957446.2
961803.5,1957421.7
961763.5,1957411.5
961763.5,1957411.5
961751.6,1957401.5
961731.8,1957372.4
961715.9,1957340.3
961709,1957334.3
961695,1957328.2
961679,1957325.1
961666,1957324
961658,1957326
961636.9,1957351.9
961626.8,1957361.8
961613.8,1957364.7
961613.8,1957364.7
961599.9,1957362.7
961592.9,1957354.6
961590.9,1957344.6
961594,1957330.7
961601.1,1957319.7
961615.1,1957308.8
961632.2,1957299.9
961678.1,1957302.1
961678.1,1957302.1
961713.1,1957313.3
961733,1957332.4
961741.9,1957351.4
961748.8,1957368.5
961758.7,1957372.5
961794.7,1957383.7
961794.7,1957383.7
961906.5,1957410.3
962018.3,1957439.9
962038.2,1957453
962052.1,1957469
962058,1957493.1
962055.6,1957562
962057.1,1957666
962057.8,1957712
962059.3,1957818.9
962058.1,1957840.9
962052.9,1957878.9
962046.7,1957919.8
962046.7,1957919.8
962041.5,1957957.8
962032.2,1958020.7
962022,1958057.7
962002.7,1958108.5
962002.7,1958108.5
961928.7,1958310.1
961928.7,1958310.1
961897.2,1958401.9
961873,1958453.7
961851.8,1958492.6
961832.6,1958520.5
961832.6,1958520.5
961809.5,1958552.4
961791.3,1958573.3
961696.8,1958674.7
961696.8,1958674.7
961609.4,1958772.2
961594.3,1958791.1
961580.2,1958813
961567,1958835
961541.7,1958896.8
961541.7,1958896.8
961527.5,1958937.7
961513.3,1958982.6
961490.8,1959069.5
961458.2,1959193.3
961452.1,1959213.2
961445,1959229.2
961424.8,1959260.1
961383.6,1959308.8
961275,1959430.2
961176.4,1959541.6
961159.4,1959548.5
961142.4,1959548.4
961131.4,1959544.4
961109.5,1959527.3
961101.6,1959518.2
961094.7,1959501.2
961091.8,1959477.2
961091.8,1959477.2
961090.9,1959465.2
961089.1,1959419.2
961090.1,1959414.2
961164.6,1959321.7
961218.9,1959253
961218.9,1959253
961252.1,1959211.2
961269.2,1959203.2
961282.2,1959202.3
961300.2,1959206.4
961321.1,1959221.5
961321.1,1959221.5
961522.2,1959380.5
961560,1959407.7
961612.8,1959448
961624.7,1959457.1
961624.7,1959457.1
961681.5,1959500.3
961744.2,1959553.6
