"x","y"
961583.4,1958763.1
961592.5,1958753.1
961602.5,1958752.2
961608.5,1958754.2
961612.4,1958759.2
961610.4,1958771.2
961599.3,1958784.2
961577.1,1958816
961554.9,1958860.9
961542.7,1958895.8
961524.5,1958947.7
961510.2,1958994.6
961475.5,1959130.4
961452.1,1959216.2
961421.8,1959265
961379.6,1959311.8
961172.4,1959546.6
961155.4,1959551.5
961142.4,1959549.4
961131.4,1959545.4
961109.5,1959529.3
961096.6,1959514.2
961091.8,1959477.2
961091.8,1959477.2
961090.9,1959465.2
961089.1,1959419.2
961090.1,1959414.2
961164.6,1959321.7
961218.9,1959253
961218.9,1959253
961251.1,1959212.2
961250.2,1959206.1
961047.1,1959045.1
960816.2,1958864
960750.5,1958811.6
960750.5,1958811.6
960540.4,1958644.6
960540.4,1958644.6
960422,1958549
960312.5,1958456.4
960270.7,1958424.2
960225.8,1958397
960119.3,1958320.5
960119.3,1958320.5
960012.7,1958243.9
960001.8,1958233.9
959975.9,1958209.7
959954.1,1958180.6
959926.3,1958143.5
959908.5,1958115.4
959861.1,1958005.2
959821.6,1957914
959818.6,1957899
959820.7,1957887
959826.8,1957875.1
959834.8,1957867.1
959843.8,1957861.2
959843.8,1957861.2
959964.3,1957767.8
960077.7,1957680.5
960077.7,1957680.5
960126.9,1957640.7
960209.2,1957580.2
960235.3,1957558.3
960272.4,1957530.6
960272.4,1957530.6
960440.1,1957397.5
960509.4,1957342.9
960509.4,1957342.9
960567.6,1957297.2
960582.6,1957285.3
960774.8,1957055.4
960774.8,1957055.4
960840.2,1956977.8
960875.4,1956933
960945.8,1956847.4
960945.8,1956847.4
961003.2,1956779.7
961083.7,1956678.2
961083.7,1956678.2
961149.1,1956596.6
961181.3,1956557.7
961181.3,1956557.7
961261.8,1956457.2
961292,1956415.4
961306.1,1956388.5
961317.3,1956361.5
961322.4,1956342.6
961322.4,1956342.6
961329.5,1956310.6
961332.7,1956274.6
961332.1,1956194.7
961331.3,1956165.7
961331.3,1956165.7
961333.1,1956020.7
961333.5,1955939.8
961332.7,1955911.8
961331.2,1955817.8
961329.4,1955774.8
961326.6,1955734.8
961322.8,1955700.8
961313.1,1955645.8
961313.1,1955645.8
961308.2,1955620.7
961303.3,1955602.7
961293.5,1955576.7
961280.6,1955546.6
961235.2,1955446.4
961159.9,1955304.1
961113.4,1955214.9
961113.4,1955214.9
961099.6,1955190.8
961054,1955104.6
961021.4,1955045.4
960966.9,1954942.2
960966.9,1954942.2
960912.5,1954841.9
960886.7,1954794.8
960856.1,1954739.7
960856.1,1954739.7
960815.5,1954662.5
960796.7,1954630.4
960657.4,1954502.7
960657.4,1954502.7
960637.5,1954482.6
960618.6,1954462.5
960588.8,1954427.4
960559,1954389.2
960497.6,1954283.9
960453,1954214.7
960453,1954214.7
960335,1954023.2
960298.3,1953974
960254.6,1953925.8
960142.2,1953812.2
960142.2,1953812.2
959872.8,1953544.9
959872.8,1953544.9
959841.9,1953524.7
959797,1953508.5
959703.2,1953472
959581.5,1953426.4
959485.7,1953388.9
959441.8,1953371.7
959441.8,1953371.7
959336.1,1953330.1
959296.2,1953315.9
959260.2,1953310.7
959219.3,1953307.5
959189.3,1953306.3
958982.3,1953308.2
958982.3,1953308.2
958902.4,1953307.8
958861.3,1953316.6
958707.4,1953312.8
958659.4,1953309.5
958645.5,1953307.4
958624.5,1953302.3
958569.6,1953282
958547.7,1953264.9
958539.8,1953248.9
958535.9,1953231.9
958532,1953209.9
958537.8,1953056
958537.8,1953056
958543.9,1952863.1
958543.2,1952798.1
958543.3,1952773.1
958535.8,1952686.1
958535.8,1952686.1
958504,1952264.1
958504,1952264.1
958492.1,1952068.1
958489.4,1952016.1
958491,1951904.1
958491,1951904.1
958489.6,1951781.2
958472.7,1951773.1
958378.5,1951811.6
958378.5,1951811.6
958359.5,1951818.5
958219.3,1951855.7
958187.3,1951860.5
958051.3,1951864.8
958051.3,1951864.8
958010.3,1951865.6
