"x","y"
964152.2,1940919.1
964148.1,1940928.1
964153.1,1940938.1
964174,1940956.2
964211.9,1940972.4
964247.8,1940980.6
964400,1940937.4
964400,1940937.4
964417,1940932.5
964425,1940930.5
964435,1940938.6
964566,1940926.3
964703.9,1940924
964703.9,1940924
964726.9,1940923.1
964738.9,1940921.2
964751,1940912.3
964755.1,1940891.3
964766.2,1940878.4
964769.2,1940872.4
964759.3,1940847.3
964755.7,1940776.3
964755.8,1940757.4
964757.9,1940744.4
964763.9,1940730.4
964775,1940722.5
964808,1940718.6
964808,1940718.6
965039,1940702.9
965221,1940684.8
965221,1940684.8
965270,1940678.1
965338,1940674.5
965360,1940677.6
965372,1940682.6
965379.9,1940698.7
965380.9,1940704.7
965383.6,1940750.7
965388.3,1940819.7
965388.3,1940819.7
965391.8,1940912.7
965391.6,1940947.6
965388.3,1940992.6
965382.1,1941035.6
965375.9,1941072.5
965286.8,1941483.9
965286.8,1941483.9
965243.7,1941695.6
965209.8,1941869.4
965209.8,1941869.4
965165.5,1942113
965137.8,1942247.8
965049.6,1942664.2
965049.6,1942664.2
965007.6,1942855.9
964991.3,1942906.8
964969,1942965.7
964954.9,1942993.6
964929.7,1943035.5
964907.5,1943068.3
964876.3,1943112.2
964856.2,1943134
964856.2,1943134
964688.3,1943305.1
964688.3,1943305.1
964665.2,1943330
964628,1943367.7
964600.9,1943399.6
964577.7,1943433.5
964510.1,1943545.1
964461.6,1943652.8
964418.1,1943747.5
964399.9,1943791.4
964388.7,1943816.3
964380.6,1943835.3
964378.5,1943852.3
964378.5,1943862.3
964382.4,1943872.3
964389.4,1943880.3
964395.4,1943884.3
964404.4,1943887.4
964416.3,1943887.4
964424.4,1943884.5
964435.4,1943875.5
964466.6,1943843.7
964470.6,1943836.8
964473.6,1943826.8
964473.7,1943811.8
964469.8,1943802.8
964465.8,1943801.7
964448.8,1943798.6
964404.9,1943791.4
964367.9,1943787.2
964295,1943775.8
964103.2,1943744.8
963995.4,1943726.3
963951.4,1943718
963866.5,1943697.6
963809.7,1943679.3
963744.8,1943658
963546.3,1943581.9
963546.3,1943581.9
963387.7,1943521.1
963077.4,1943402.5
963077.4,1943402.5
962871.9,1943326.5
962825,1943308.2
962781.1,1943288
962706.3,1943251.6
962619.6,1943204.2
962571.8,1943174.9
962509,1943133.6
962493,1943131.5
962474,1943139.4
962392,1943332.9
962392,1943332.9
962214.8,1943752.8
962214.8,1943752.8
962182.4,1943833.6
962106.5,1944005.2
961932.5,1944409.1
961932.5,1944409.1
961805.9,1944711.3
961755.3,1944835
961755.3,1944835
961720.9,1944911.8
961644.9,1945099.3
961644.9,1945099.3
961471.8,1945505.3
961471.8,1945505.3
961432.4,1945595
961372.7,1945732.7
961372.7,1945732.7
961303.8,1945890.2
961251.2,1946013.9
961224.9,1946075.7
961184.4,1946170.5
961161.4,1946176.4
961142.4,1946173.3
961129.5,1946162.2
961120.6,1946146.2
961149.9,1946075.3
961189.4,1945981.6
961189.4,1945981.6
961307.8,1945707.3
961307.8,1945707.3
961405,1945483.9
961405,1945483.9
961527.4,1945198.7
961689.4,1944808.7
961689.4,1944808.7
961738,1944694
961841.3,1944447.6
961841.3,1944447.6
961959.7,1944175.3
962073,1943931
962123.5,1943822.3
962170,1943717.6
962170,1943717.6
962259.2,1943497.2
962299.7,1943401.4
962299.7,1943401.4
962317.9,1943355.5
962417.1,1943122.1
962434.3,1943082.2
962444.4,1943071.3
962460.4,1943065.4
962477.4,1943063.5
962496.4,1943069.6
962520.3,1943086.7
962545.2,1943103.8
962581,1943127
962611.9,1943147.1
962683.7,1943189.5
962792.3,1943244.1
962875.1,1943278.5
963111.6,1943368.7
963111.6,1943368.7
963538.6,1943528.9
963538.6,1943528.9
963717.1,1943597.8
963752,1943613
963852.8,1943646.5
963917.7,1943662.9
963978.6,1943678.2
964081.5,1943695.7
964218.3,1943718.5
964273.3,1943718.7
964300.3,1943717.9
964316.3,1943716
964332.3,1943712.1
964351.3,1943706.2
964366.4,1943699.2
964379.4,1943693.3
964390.4,1943686.4
964406.5,1943674.5
964420.5,1943661.5
964429.6,1943652.6
964436.6,1943642.6
964461.9,1943587.8
964490.2,1943532
964517.5,1943469.1
964544.8,1943420.3
964570,1943383.4
964622.3,1943322.7
964622.3,1943322.7
964660.5,1943282.9
964732.8,1943209.4
964777.1,1943161.6
964807.2,1943133.8
964807.2,1943133.8
964867.5,1943064.1
964909.9,1943000.4
964938.1,1942945.5
964959.4,1942891.7
964973.6,1942850.8
965004.4,1942701
965004.4,1942701
965073.1,1942383.5
965132.6,1942099.9
965160.4,1941940.1
965160.4,1941940.1
965179.9,1941839.2
965206.7,1941691.4
965240.5,1941536.6
965240.5,1941536.6
965337.9,1941082.3
965344.1,1941042.4
965350.2,1941012.4
965354.4,1940981.4
965355.5,1940957.5
965356.8,1940915.5
965349.4,1940789.5
965304.7,1940743.3
965304.7,1940743.3
965273.9,1940710.1
965241.9,1940713.9
965207.8,1940717.8
965007.8,1940734.7
964814.7,1940766.7
964814.7,1940766.7
964776.7,1940772.5
964782.3,1940853.5
964777.1,1940881.4
964763.1,1940896.3
964762,1940903.3
964760,1940912.3
964754.9,1940920.3
964739.9,1940931.2
964633.9,1940933.6
964633.9,1940933.6
964563.9,1940937.3
964432.9,1940948.6
964426.9,1940949.6
964422.9,1940946.5
964422,1940938.5
964336.9,1940964.1
964336.9,1940964.1
964248.8,1940988.6
964229.8,1940989.5
964189.8,1940976.3
964143,1940956
964125,1940946
964117.1,1940932.9
964126.2,1940908
