"x","y"
958540.4,1957286.4
958528,1957537.3
958532,1957540.3
958624,1957542.8
958624,1957542.8
958809.9,1957546.8
958816.9,1957540.8
958822.2,1957494.9
958822.2,1957494.9
958830.6,1957413.9
958837.8,1957363
958849.1,1957306.1
958863.5,1957246.2
958884.7,1957203.3
958884.7,1957203.3
958898.9,1957161.4
958953.6,1957022.7
958966.7,1957013.8
958978.7,1957010.9
958993.7,1957013
959033.5,1957038.2
959033.5,1957038.2
959117.2,1957092.6
959139.1,1957109.7
959166.9,1957133.8
959193.8,1957169
959254.3,1957251.2
959254.3,1957251.2
959298,1957309.5
959368.4,1957401.8
959419.1,1957465
959440.9,1957490.1
959472.8,1957522.3
959557.3,1957598.7
959676.8,1957700.3
959676.8,1957700.3
959732.5,1957752.6
959755.3,1957773.7
959777.2,1957798.8
959821.8,1957861
959840.7,1957896.1
959854.5,1957924.2
959860.5,1957931.2
959860.5,1957931.2
959917.7,1958068.5
959917.7,1958068.5
959928.6,1958096.5
959937.5,1958111.6
959957.3,1958142.7
959968.2,1958158.7
959972.1,1958178.7
959968,1958199.7
959962.9,1958216.7
959958.8,1958238.6
959952.6,1958270.6
959946.5,1958291.6
959932.3,1958335.5
959932.3,1958335.5
959921.1,1958361.4
959913.1,1958375.3
959846.4,1958501.9
959807.1,1958561.7
959784.8,1958620.6
959784.8,1958620.6
959777.7,1958644.5
959775.6,1958662.5
959782.1,1958752.5
959784,1958779.5
959783.9,1958793.5
959783.9,1958793.5
959776.8,1958812.5
959753.7,1958835.3
959724.5,1958868.2
959708.5,1958877.1
959692.5,1958881
959665.5,1958879.8
959644.5,1958872.7
959611.6,1958857.6
959611.6,1958857.6
959589.7,1958838.5
959579.8,1958826.4
959545,1958797.2
959536,1958798.2
959502.8,1958829
959502.8,1958829
959436.6,1958874.6
959424.6,1958881.6
959383.5,1958898.3
959370.5,1958906.3
959370.5,1958906.3
959371.4,1958909.3
959397.3,1958935.4
959405.2,1958952.4
959405.1,1958967.4
959400.1,1958979.4
959392,1958987.4
959380,1958996.3
959365.9,1959004.2
959319.8,1959025.9
959307.8,1959031.9
959302.8,1959039.9
959289.7,1959062.8
959289.7,1959062.8
959280.6,1959071.7
959224.2,1959157.4
959207.1,1959180.3
959183.9,1959209.2
959158.8,1959224
959158.8,1959224
959121.8,1959241.8
959102.7,1959252.7
959086.7,1959263.6
959086.7,1959263.6
959069.6,1959276.5
959012.4,1959324.2
958970.2,1959363
958970.2,1959363
958957.1,1959372.9
958943,1959389.8
958931,1959406.7
958916.8,1959438.7
958916.8,1959438.7
958899.6,1959473.6
958890.5,1959490.5
958866.2,1959545.4
958866.2,1959545.4
958852.1,1959569.3
958853.1,1959575.3
958892.8,1959621.5
958892.8,1959621.5
958893.8,1959629.5
958891.7,1959638.5
958886.7,1959646.4
958864.6,1959658.3
958819.6,1959661.1
958711.7,1959653.5
958711.7,1959653.5
958424,1959629
958424,1959629
958262.1,1959615.1
958147.2,1959606.5
958077.9,1959667.1
958077.9,1959667.1
957993.5,1959737.6
957994.5,1959739.6
958150.5,1959916.4
958161.5,1959916.5
958176.6,1959902.6
958176.6,1959902.6
958348.3,1959754.5
958353.3,1959750.6
958368.4,1959729.6
958376,1959629.7
958379,1959616.7
958384.1,1959611.8
958392.1,1959605.8
958407.1,1959601.9
958462.1,1959607.2
958462.1,1959607.2
958732.8,1959630.6
958732.8,1959630.6
958866.7,1959642.3
958880.7,1959638.4
958883.7,1959637.4
958886.8,1959627.4
958878.8,1959618.4
958878.8,1959618.4
958860,1959595.3
958846.1,1959576.2
958843.1,1959569.2
958844.2,1959562.2
958848.2,1959556.3
958856.3,1959539.3
958856.3,1959539.3
958863.3,1959524.3
958882.6,1959483.5
958896.7,1959457.5
958896.7,1959457.5
958921,1959405.7
958929,1959394.7
958951.2,1959365.9
958960.2,1959359.9
958960.2,1959359.9
958995.4,1959326.1
959076.7,1959257.6
959088.7,1959248.6
959097.7,1959245.7
959097.7,1959245.7
959158.9,1959212
959179,1959198.1
959179,1959198.1
959187,1959190.2
959200.1,1959175.3
959215.2,1959152.3
959272.7,1959063.7
959283.7,1959051.8
959283.7,1959051.8
959292.8,1959036.8
959296.8,1959030.8
959302.9,1959022.9
959311.9,1959018.9
959366,1958994.2
959379,1958986.3
959388.1,1958979.3
959394.1,1958969.4
959395.2,1958960.4
959361.3,1958926.2
959357.4,1958915.2
959357.5,1958906.2
959363.5,1958899.2
959369.5,1958899.3
959369.5,1958899.3
959373.5,1958895.3
959417.6,1958877.5
959424.6,1958873.6
959460.8,1958843.8
959506.9,1958814
959506.9,1958814
959526,1958795.1
959536,1958789.2
959548,1958790.3
959557,1958793.3
959585.8,1958818.4
959595.8,1958829.5
959615.7,1958846.6
959615.7,1958846.6
959655.6,1958865.8
959673.5,1958869.9
959697.5,1958870
959702.5,1958870
959707.5,1958868.1
959737.7,1958837.2
959746.7,1958825.3
959766.8,1958805.4
959766.8,1958805.4
959772,1958783.4
959764.5,1958687.4
959763.7,1958643.4
959774.9,1958611.5
959774.9,1958611.5
959781,1958586.6
959798.2,1958552.7
959837.5,1958489.9
959837.5,1958489.9
959881.9,1958413.2
959913.2,1958356.3
959938.5,1958289.5
959938.5,1958289.5
959941.6,1958274.5
959958.1,1958186.7
959939.2,1958161.6
959912.4,1958120.4
959905.5,1958106.4
959874.9,1958036.3
959874.9,1958036.3
959817.6,1957906
959808.7,1957888
959798.8,1957873.9
959770,1957834.8
959770,1957834.8
959757.1,1957813.7
959740.2,1957796.6
959722.3,1957779.5
959681.5,1957742.3
959656.7,1957719.2
959449.7,1957538.2
959412.9,1957498
959387.1,1957468.9
959228.3,1957258.1
959228.3,1957258.1
959161.8,1957164.8
959147.9,1957148.7
959133,1957131.6
959112.1,1957116.5
959056.3,1957080.3
959056.3,1957080.3
958982.6,1957031.9
958947.7,1957010.7
958790.3,1956907.9
958687.7,1956840.4
958687.7,1956840.4
958638.9,1956809.1
958576.1,1956769.8
958567.1,1956770.8
958561.1,1956773.7
958559.1,1956776.7
958559,1956791.7
958555.7,1956839.7
958558.6,1956855.7
