"x","y"
956977.5,1942467.5
956974.5,1942481.5
957034.4,1942500.8
957356.6,1942617.5
957360.6,1942629.5
957358.5,1942641.5
957349.4,1942650.4
957336.4,1942653.4
957075,1942559
957006.2,1942533.7
956989.2,1942528.6
956860.9,1942792.8
956860.9,1942792.8
956836.6,1942851.7
956842.5,1942863.7
957168,1942940.4
957168,1942940.4
957213.9,1942951.6
957261.8,1942960.9
957320.7,1942975.2
957359.7,1942986.4
957359.7,1942986.4
957408.6,1943000.6
957438.5,1943010.8
957653,1943092.9
957653,1943092.9
957875.5,1943178
957875.5,1943178
957990.2,1943223.6
958119.9,1943274.3
958119.9,1943274.3
958276.5,1943334.1
958285.4,1943344.2
958290.4,1943355.2
958291.3,1943364.2
958245.6,1943500.9
958245.6,1943500.9
958207.1,1943608.6
958141.1,1943789.2
958141.1,1943789.2
958072.2,1943976.8
958027.6,1944093.5
958027.6,1944093.5
957955.6,1944278.1
958153.1,1944357.1
958213,1944382.4
958215.9,1944395.4
958211.8,1944404.4
958198.8,1944408.3
958149,1944388
958149,1944388
957947.5,1944306
957917,1944391.8
957917,1944391.8
957837.9,1944603.3
957837.9,1944603.3
957812.6,1944670.2
957769,1944788.9
957769,1944788.9
957733.4,1944887.7
957690.8,1945006.4
957659.7,1945037.2
957577.9,1945006.8
957535,1944995.6
957516.7,1945040.5
957503.5,1945090.4
957612.3,1945122.9
957612.3,1945122.9
957620.3,1945120
957627.3,1945116
957639.4,1945091.1
957659.7,1945037.2
957668.9,1944999.3
957688.1,1944956.4
957723.6,1944854.6
957723.6,1944854.6
957786.5,1944685
957786.5,1944685
957819,1944592.2
957899.1,1944381.7
957899.1,1944381.7
957937.7,1944268
957994.4,1944125.3
957994.4,1944125.3
958104.9,1943833
958104.9,1943833
958117.1,1943793.1
958170.9,1943646.4
958170.9,1943646.4
958240.8,1943456.9
958240.8,1943456.9
958273.3,1943365.1
958192.5,1943333.7
958155.6,1943319.5
958155.6,1943319.5
957897.2,1943220.1
957897.2,1943220.1
957677.8,1943134
957677.8,1943134
957386.5,1943023.5
957386.5,1943023.5
957358.5,1943016.4
957305.6,1943002.1
957265.7,1942992.9
957187.8,1942976.5
957056,1942942.8
957056,1942942.8
956553.8,1942826.2
956553.8,1942826.2
956191.4,1942739.3
956174.1,1942793.2
956174.1,1942793.2
956146.7,1942872
956138.5,1942902.9
956160.8,1943052
956160.8,1943052
956210.7,1943434.1
956216.5,1943467.1
956216.5,1943467.1
956231.1,1943545.2
956242.9,1943579.2
956256.8,1943604.3
956264.7,1943615.3
956298.5,1943649.5
956307.5,1943657.6
956446.2,1943708.3
956474.2,1943696.4
956489.4,1943652.5
956489.4,1943652.5
956594.9,1943369.2
956594.9,1943369.2
956640.5,1943246.5
956693.3,1943105.8
956693.3,1943105.8
956773.4,1942890.3
956859.5,1942665.8
