"x","y"
961843.4,1948387.2
961884.8,1948500.4
961885.7,1948514.4
961882.7,1948527.3
961873.6,1948537.3
961854.6,1948547.2
961767.4,1948575.7
961767.4,1948575.7
961704.3,1948596.4
961392.9,1948700.7
961392.9,1948700.7
961260.7,1948747
961241.7,1948749.9
961221.7,1948745.8
961209.8,1948739.7
961194.9,1948722.6
961164.2,1948656.5
961156.2,1948657.5
961156.2,1948657.5
961096.2,1948661.1
961082.2,1948662
961054.2,1948668.9
961011.2,1948675.7
961003.2,1948676.6
961003.2,1948676.6
960958.2,1948679.4
960924.2,1948684.2
960924.2,1948684.2
960879.1,1948695
960842.1,1948701.8
960811.1,1948711.6
960788,1948719.5
960764,1948729.3
960729.9,1948744.2
960703.8,1948763
960697.8,1948765
960697.8,1948765
960658.7,1948781.8
960630.7,1948792.6
960511.6,1948821
960447.6,1948830.6
960447.6,1948830.6
960389.5,1948841.3
960299.6,1948837.8
960279.6,1948843.7
960225.5,1948864.4
960225.5,1948864.4
960016.1,1948951.3
959970,1948968
959970,1948968
959891.9,1948998.6
959820.7,1949034.2
959737.5,1949069.8
959723.5,1949082.7
959716.4,1949106.6
959718.2,1949128.6
959730.9,1949190.7
959730.9,1949190.7
959743.6,1949242.7
959752.4,1949281.8
959764.1,1949337.8
959764.1,1949337.8
959801.2,1949503
959810,1949549
959811.7,1949593
959796,1949736.8
959796,1949736.8
959776.9,1949935.7
959774.7,1949984.6
959765.1,1950092.5
959756.6,1950181.5
959756.6,1950181.5
959746.1,1950284.4
959731.4,1950422.2
959707.3,1950629
959675.9,1950889.8
959669.8,1950909.7
959666.7,1950922.7
959666.7,1950922.7
959661.7,1950935.7
959654.6,1950948.7
959638.5,1950969.6
959624.5,1950980.5
959605.4,1950993.4
959575.3,1951007.2
959526.3,1951021.9
959345.1,1951069
959262.9,1951108.5
959189.7,1951150.1
959189.7,1951150.1
959139.5,1951184.8
959125.5,1951200.8
959115.4,1951221.7
959030.7,1951345.2
959030.7,1951345.2
959008.6,1951378.1
958954.2,1951456.8
958919,1951489.6
958821.6,1951568
958778.5,1951598.8
958740.4,1951621.6
958740.4,1951621.6
958566.9,1951719.6
958528.8,1951742.4
958471.7,1951773.1
958414.6,1951795.8
958384.5,1951808.6
958378.5,1951811.6
958378.5,1951811.6
958359.5,1951818.5
958219.3,1951855.7
958187.3,1951860.5
958051.3,1951864.8
958051.3,1951864.8
958010.3,1951865.6
957955.3,1951870.3
957796.2,1951910.4
957796.2,1951910.4
957757.2,1951918.2
957708.1,1951930
957663.1,1951934.7
957571.1,1951934.2
957499.2,1951931.9
957499.2,1951931.9
957436.2,1951923.5
957196.5,1951891.3
957077.6,1951874.6
957077.6,1951874.6
956971.8,1951859.1
956927.8,1951853.9
956874.8,1951852.6
956818.8,1951864.3
956584.4,1951958
956490.3,1951985.5
956360.1,1952016.8
956360.1,1952016.8
956226,1952049.1
956094.9,1952077.4
956070.9,1952077.2
956060.9,1952086.2
956047.4,1952179.1
956047.4,1952179.1
956043,1952244
956038.8,1952469.9
956038.8,1952469.9
956034.7,1952492.9
956043.7,1952501.9
956377.5,1952509.7
956377.5,1952509.7
956599.4,1952515.9
956619.4,1952509
956647.5,1952499.1
956663.6,1952466.2
956673.8,1952439.3
956678.9,1952411.3
956686.1,1952377.4
956685.3,1952347.4
956684.4,1952318.4
956674.7,1952275.4
956641,1952221.2
956608.3,1952154
956581.6,1952110.9
956581.6,1952110.9
956562.7,1952076.8
956549.9,1952053.8
956537,1952026.7
956534.2,1951996.7
956538.3,1951972.7
956551.4,1951949.8
956576.5,1951937
956611.5,1951926.2
956611.5,1951926.2
956732.8,1951871.8
956776.8,1951857.1
956813.9,1951838.3
956840,1951829.4
956878,1951824.6
956937.9,1951827.9
956959.9,1951830
957125.7,1951854.9
957125.7,1951854.9
957501.3,1951905.9
957562.3,1951907.2
957562.3,1951907.2
957634.3,1951908.6
957664.2,1951908.7
957690.2,1951905.9
957727.3,1951899.1
957764.3,1951890.3
957832.4,1951873.6
957832.4,1951873.6
957914.4,1951854.1
957961.5,1951843.3
958027.5,1951837.7
958128.5,1951836.2
958165.5,1951834.4
958165.5,1951834.4
958194.4,1951832.6
958241.5,1951821.8
958338.6,1951795.4
958379.7,1951781.6
958440.8,1951756.9
958440.8,1951756.9
958466.8,1951746.1
958485.9,1951735.2
958702.4,1951612.4
958754.6,1951580.7
958778.7,1951564.8
958778.7,1951564.8
958805.8,1951543.9
958901.1,1951467.5
958933.3,1951438.7
958984.6,1951364
959038,1951286.3
959038,1951286.3
959108.6,1951179.7
959131.7,1951154.8
959152.8,1951136.9
959177.9,1951122.1
959232,1951089.4
959232,1951089.4
959324.2,1951042.9
959349.3,1951033
959516.4,1950993.9
959557.5,1950982.1
959581.5,1950973.3
959602.6,1950961.4
959614.6,1950951.4
959624.7,1950941.5
959634.7,1950926.6
959644.9,1950899.6
959649,1950877.7
959649,1950877.7
959679.3,1950627.9
959702.4,1950425.1
959719.4,1950236.3
959719.4,1950236.3
959748.7,1949974.5
959750.9,1949949.5
959765.8,1949781.7
959765.8,1949781.7
959780.8,1949590.8
959782.9,1949556.8
959781.1,1949527.8
959758.7,1949420.8
959758.7,1949420.8
959734.3,1949300.7
959713.6,1949240.6
959688.2,1949135.5
959688.2,1949135.5
959686.4,1949096.5
959694.5,1949078.5
959708.6,1949065.6
959731.6,1949057.7
959817.8,1949023.2
959883.9,1948991.6
959965.1,1948958
959965.1,1948958
960012.1,1948941.3
960212.5,1948858.4
960212.5,1948858.4
960278.6,1948832.7
960299.6,1948828.8
960384.6,1948831.3
960468.6,1948816.7
960468.6,1948816.7
960489.6,1948813.9
960550.7,1948802.2
960627.8,1948782.6
960654.8,1948771.7
960687.9,1948756.9
960704.9,1948747
960704.9,1948747
960731,1948732.2
960754,1948727.3
960813.1,1948701.6
960853.2,1948691.8
960884.2,1948687
960909.2,1948678.1
960909.2,1948678.1
960930.2,1948674.2
960962.2,1948670.4
960995.2,1948667.6
960995.2,1948667.6
961014.2,1948665.7
961059.3,1948658.9
961078.3,1948654
961105.3,1948652.2
961153.3,1948648.4
961153.3,1948648.4
961160.3,1948647.5
961120.8,1948558.3
961084.2,1948471.1
961088.3,1948466.2
961101.3,1948457.2
961116.3,1948457.3
961152.9,1948540.5
961210.2,1948664.7
961214.1,1948673.7
961214.1,1948673.7
961233.9,1948717.8
961263.8,1948724
961380,1948683.6
961380,1948683.6
961730.5,1948566.5
961730.5,1948566.5
961853.7,1948526.2
961805.4,1948389
961790.6,1948346.9
961790.6,1948346.9
961720.6,1948163.6
961710.6,1948165.6
