"x","y"
967746.1,1945228.6
967705.6,1945135.4
967692.6,1945132.4
967659.5,1945148.2
967659.5,1945148.2
967464.1,1945234.1
967442,1945250
967384.8,1945295.7
967384.8,1945295.7
967358.7,1945316.5
967283.4,1945380.1
967256.3,1945395
967107,1945475.1
967107,1945475.1
967037.8,1945511.8
966995.7,1945535.5
966929.5,1945571.2
966840.3,1945619.7
966826.3,1945625.6
966792.2,1945643.4
966792.2,1945643.4
966712,1945685
966534.6,1945766
966529.6,1945776
966564.2,1945850.1
966564.2,1945850.1
966583.9,1945894.2
966584.9,1945905.2
966578.8,1945913.2
966564.8,1945919.1
966404.4,1945999.2
966393.4,1946000.2
966383.5,1945994.1
966369.6,1945965.1
966369.6,1945965.1
966253.9,1945734.5
966253.9,1945734.5
966138.2,1945500
966125.2,1945490.9
966112.3,1945485.9
966074.1,1945513.7
966074.1,1945513.7
965873.4,1945659.5
965873.4,1945659.5
965745,1945749.8
965707.9,1945773.6
965679.8,1945788.5
965679.8,1945788.5
965385.1,1945939.8
965328.3,1946107.5
965328.3,1946107.5
965270.4,1946278.1
965254.3,1946299
965240.2,1946310.9
965217.2,1946316.8
965188.2,1946316.7
964773.3,1946144.5
964773.3,1946144.5
964759.3,1946138.5
964735.3,1946131.3
964714.4,1946130.2
964694.3,1946133.1
964673.3,1946140
964661.3,1946146.9
964647.2,1946156.9
964633.2,1946172.8
964599.9,1946225.6
964599.9,1946225.6
964219.8,1946839.3
964219.8,1946839.3
963871.8,1947415.3
963852.7,1947441.2
963756.9,1947604.6
963733.6,1947650.5
963622.8,1947822.8
963607.6,1947850.7
963515.9,1947992.2
963480.6,1948055
963414,1948165.6
963414,1948165.6
963385.8,1948213.4
963359.5,1948262.3
963338.3,1948312.1
963239.6,1948629.5
963222.3,1948684.4
963216.1,1948727.3
963201.1,1948913.2
963201.1,1948913.2
963189.5,1949043.1
963217,1949131.2
963282,1949312.5
963282,1949312.5
963358.7,1949549.8
963371.5,1949583.9
963376.4,1949600.9
963371.3,1949615.9
963357.3,1949623.8
963245.3,1949634.2
963245.3,1949634.2
963009.3,1949650.9
962882.3,1949660.2
962861.3,1949662.1
962826.3,1949669.9
962665.1,1949718.1
962649,1949725
962649,1949725
962468.5,1949840
962432.4,1949856.8
962415.4,1949862.7
962413.3,1949870.7
962527.1,1950104.2
962575.5,1950212.4
962614.8,1950330.6
962638.5,1950392.7
962638.5,1950392.7
962709.5,1950571
