"x","y"
946517.4,1939824.1
946671.1,1939872.9
946821.8,1939919.7
946821.8,1939919.7
946866.7,1939933.9
946871.7,1939934
946877.7,1939932
946886.8,1939907
946953,1939678.5
947032.4,1939418
947032.4,1939418
947078.2,1939264.3
947078.2,1939264.3
947212.5,1938813.2
947212.5,1938813.2
947222.7,1938778.3
947231.9,1938743.3
947238.1,1938701.4
947243.4,1938652.4
947242.7,1938588.4
947240.1,1938519.4
947227.8,1938388.4
947227.8,1938388.4
947205,1938164.4
947205,1938164.4
947180.3,1937918.4
947169.3,1937915.3
947169.3,1937915.3
947074.3,1937910.8
947007.4,1937911.4
946948.4,1937910.1
946926.4,1937909
946805.5,1937905.4
946613.5,1937911.4
946613.5,1937911.4
946543.5,1937916
946478.5,1937922.6
946414.5,1937926.3
946414.5,1937926.3
946273.5,1937937.5
946257.5,1937934.5
946242.6,1937928.4
946230.6,1937919.3
946222.7,1937896.3
946214.5,1937756.3
946212.5,1937747.3
946212.5,1937747.3
946207,1937650.3
946204.2,1937629.3
946202.2,1937626.3
946196.2,1937621.2
946169.3,1937606.1
946129.3,1937601.9
946078.4,1937600.6
946078.4,1937600.6
946068.4,1937602.6
945938.4,1937611.9
945938.4,1937611.9
945617.4,1937633.2
945572.4,1937637.9
945566.4,1937633.9
945564.4,1937625.9
945571.5,1937617.9
945792.5,1937602.1
945792.5,1937602.1
945875.5,1937595.6
945956.5,1937590
945956.5,1937590
946072.5,1937581.6
946072.5,1937581.6
946122.5,1937578.9
946147.4,1937580
946172.4,1937587.1
946197.3,1937598.3
946211.3,1937608.3
946221.2,1937628.4
946221.1,1937648.4
946225.6,1937737.4
946225.6,1937737.4
946236.8,1937874.4
946258.7,1937893.5
946404.7,1937884.3
946404.7,1937884.3
946459.7,1937882.6
946544.6,1937897
946591.6,1937893.2
946591.6,1937893.2
946650.6,1937890.6
946695.6,1937888.8
946796.6,1937886.3
946858.5,1937888.7
947000.5,1937893.4
947066.4,1937893.8
947171.4,1937892.3
947192.4,1937895.4
947212.3,1937905.5
947229.2,1937928.6
947250.2,1938115.6
947250.2,1938115.6
947273.9,1938358.7
947273.9,1938358.7
947276.7,1938399.7
947286.2,1938492.7
947291.4,1938646.7
947290.2,1938676.7
947285,1938717.6
947269.6,1938792.5
947239,1938901.3
947239,1938901.3
947134.2,1939255.6
947134.2,1939255.6
947051.8,1939522.1
947051.8,1939522.1
947009.1,1939662.8
947000,1939674.7
946988,1939679.7
946969,1939680.6
946946.1,1939674.4
946902.2,1939652.2
946902.2,1939652.2
946717.8,1939557.3
946688.5,1939615.1
946685.4,1939623.1
946686,1939705.1
