"x","y"
969611.2,1950729.6
969491.4,1950707.9
969213.7,1950663.5
969030.8,1950667.5
969030.8,1950667.5
968757.8,1950672.1
968618.9,1950675.3
968599.9,1950672.2
968586.9,1950664.2
968580,1950652.1
968576.1,1950631.1
968549.5,1950371.1
968549.5,1950371.1
968542.2,1950245.1
968535.5,1950186
968502.7,1949963
968473.7,1949769.9
968459.1,1949705.8
968454.2,1949680.8
968399.1,1949512.6
968399.1,1949512.6
968375.6,1949423.5
968291.1,1949148.1
968187.9,1948807.7
968187.9,1948807.7
968180.1,1948780.7
968055.2,1948380.1
968039.4,1948345.1
968026.6,1948305
967810.5,1947595.1
967810.5,1947595.1
967765.3,1947447.9
967704.4,1947242.7
967661.2,1947102.5
967638.6,1947023.4
967623.8,1946983.3
967600.2,1946900.3
967593.4,1946875.2
967563.9,1946780.1
967550.1,1946749
967427.3,1946519.5
967322.4,1946320
967322.4,1946320
967146.2,1945987.2
967121.5,1945948
967110.8,1945893
967136.9,1945858.2
967179.1,1945832.4
967229.2,1945806.7
967229.2,1945806.7
967609.1,1945611.8
967616.2,1945585.8
967481.7,1945321.2
967481.7,1945321.2
967424.2,1945218.9
967165.1,1944882.7
967019.1,1944693.9
967000.3,1944660.9
967000.3,1944660.9
966967.7,1944599.7
966885.8,1944389.3
966823.7,1944218.1
966793,1944161.9
966738.4,1944090.7
966678.7,1944039.4
966611,1943991
966611,1943991
966437.8,1943864.2
966326.2,1943792.6
966233.3,1943767.1
965748.5,1943584.6
965748.5,1943584.6
965324.5,1943414.4
965214.8,1943374.8
964912.5,1943258.3
964820.7,1943232.8
964820.7,1943232.8
964788.7,1943221.7
964782.7,1943224.6
964664.2,1943340.9
964620.9,1943388.7
964586.7,1943424.5
964556.5,1943469.3
964528.2,1943531.2
964418.1,1943749.5
964369.5,1943860.2
964340.3,1943906
964303.1,1943949.8
964271.9,1943973.6
964213.7,1944020.3
964161.6,1944045
964117.5,1944063.8
963854,1944180.4
963753.8,1944219.8
963523.4,1944320.6
963506.3,1944333.5
963485.1,1944366.3
963472.1,1944382.3
963450,1944396.1
963355.8,1944434.6
963305.7,1944455.4
963150.5,1944511.5
963106.4,1944530.3
962974.2,1944585.5
962891,1944618.1
962806.9,1944647.6
962564.6,1944714.3
962238.3,1944796.6
962202.3,1944809.4
962135.1,1944841
962078.9,1944878.7
962006.6,1944944.3
961953.3,1945013
961937.1,1945039.9
961912.9,1945083.7
961891.6,1945143.6
961870.1,1945244.5
961837.8,1945486.2
961822,1945628.1
961811.2,1945791.9
961796,1946014.8
961769.8,1946246.6
961748.9,1946407.4
961740.8,1946439.3
961732.7,1946460.3
961720.6,1946480.2
961712.5,1946490.2
961653.1,1946565.8
961639,1946595.7
961613.6,1946670.6
961597.4,1946707.5
961571.1,1946762.3
961556,1946787.2
961507.7,1946853
961446.3,1946923.6
961390,1946994.3
961353.8,1947036.1
961252.3,1947129.5
961160,1947200
960939.2,1947357.8
960847.9,1947427.3
960822.7,1947450.1
960764.4,1947520.8
960691,1947607.4
960632.6,1947675
960601.5,1947700.9
960563.4,1947728.6
960496.2,1947770.3
960406,1947800.8
959953.5,1947937.3
959859.4,1947966.8
959808.3,1947988.5
959618.9,1948067.5
959502.7,1948107.9
959357.6,1948150.1
959264.5,1948174.6
959181.4,1948201.1
958845.9,1948308.3
958637.6,1948389.2
958583.5,1948409.9
958512.4,1948432.5
958451.3,1948447.2
958400.3,1948452.9
958344.3,1948449.6
958263.4,1948436.2
958200.6,1948413.9
958140.8,1948382.5
958086,1948336.3
958043.3,1948296.1
957992.6,1948232.8
957940,1948160.6
957889.4,1948084.3
957820.1,1947972
957763.6,1947883.7
957681.3,1947746.4
957646.6,1947692.2
957595.9,1947632.9
957490.5,1947533.4
957407,1947447
957255.8,1947315.3
957236.8,1947300.2
957214,1947276
957146.4,1947200.7
957032.2,1947066.2
956926.9,1946933.6
956856.3,1946859.3
956724.2,1946710.7
956516.4,1946485.6
956392.2,1946347
956239.1,1946193.3
956170.5,1946125.9
956014.2,1946003.1
955867.7,1945907.4
955508,1945696.6
955328.6,1945586.7
955121.4,1945460.6
954995.8,1945397
954893,1945355.4
954834.1,1945335.1
954709.4,1945300.5
954422.8,1945231
954327.9,1945218.5
954220,1945215.9
954135,1945219.5
953829.1,1945223.8
953675.1,1945242
953610.9,1945269.7
953564.8,1945296.4
953509.6,1945334.1
953509.6,1945334.1
953381.1,1945437.4
953318.9,1945479.1
953256.8,1945514.7
953192.6,1945545.4
953083.4,1945592.8
952980.2,1945641.2
952882,1945691.7
952777.7,1945753.1
952674.4,1945822.5
952520.8,1945933.7
952334.2,1946061.6
952233.9,1946128.1
