weekday,time,sudo,household,pur,trip,gender,ln_dis,ln_time
1,0,0,4,6,1,1,2.197224577,3.688879454
0,0,0,2,8,1,1,2.708050201,3.828641396
1,0,0,4,1,1,1,2.564949357,3.433987204
1,1,0,5,3,1,0,3.17805383,2.708050201
1,0,1,4,5,1,0,3.17805383,3.401197382
1,1,0,4,5,1,1,1.098612289,0.693147181
1,0,0,4,10,1,0,1.609437912,2.995732274
1,0,1,5,8,1,0,1.098612289,2.302585093
1,0,0,3,1,1,0,1.609437912,3.218875825
1,0,0,1,11,1,0,0,1.609437912
1,0,0,4,10,1,0,1.609437912,2.302585093
1,1,1,5,5,1,1,3.496507561,4.094344562
1,1,0,2,10,1,1,1.098612289,2.302585093
1,0,0,3,10,1,0,2.079441542,2.708050201
1,1,0,4,1,1,0,2.708050201,2.708050201
1,1,0,3,5,1,0,3.401197382,3.218875825
1,1,0,4,5,1,1,0.693147181,2.302585093
0,0,0,2,7,1,1,2.708050201,3.63758616
1,0,0,4,5,1,1,2.564949357,2.890371758
1,1,0,5,5,1,0,3.17805383,2.995732274
1,0,1,4,0,0,0,0,0
1,1,0,4,4,1,1,3.044522438,3.688879454
1,0,0,4,10,1,0,2.564949357,3.401197382
1,0,1,5,5,1,0,1.386294361,2.302585093
1,0,0,3,5,1,0,1.609437912,2.564949357
1,0,0,1,6,1,0,0,1.609437912
1,0,0,4,5,1,0,1.609437912,2.302585093
1,1,1,5,1,1,1,2.833213344,4.248495242
1,1,0,2,5,1,1,1.098612289,2.302585093
1,0,0,3,5,1,0,2.079441542,2.772588722
1,0,0,4,4,1,0,2.197224577,2.302585093
1,1,0,3,1,1,0,3.36729583,3.33220451
1,1,0,4,1,1,1,0.693147181,2.302585093
0,0,0,2,5,1,1,2.079441542,2.944438979
1,1,0,4,1,1,1,2.564949357,3.135494216
1,0,0,5,10,1,0,1.609437912,2.708050201
1,0,0,4,6,1,1,3.555348061,3.80666249
1,1,0,4,5,1,0,2.890371758,4.094344562
0,0,1,5,7,1,0,2.302585093,3.401197382
0,0,0,3,1,1,0,1.386294361,2.708050201
1,1,0,1,5,1,0,2.302585093,3.401197382
1,1,0,4,10,1,0,2.079441542,2.995732274
1,1,1,5,5,1,1,2.833213344,4.248495242
1,0,0,2,1,1,1,0.693147181,1.609437912
1,0,0,3,10,1,0,3.951243719,3.80666249
1,0,0,4,6,1,0,2.302585093,2.302585093
1,1,0,3,5,1,0,3.401197382,3.33220451
1,1,0,4,5,1,1,0.693147181,2.302585093
0,1,0,2,1,1,1,1.609437912,2.397895273
1,0,0,4,5,1,1,2.564949357,3.135494216
1,0,0,5,3,1,0,1.609437912,2.397895273
1,1,0,4,5,1,1,2.48490665,3.401197382
1,1,0,4,1,1,0,2.197224577,3.401197382
0,1,1,5,5,1,0,2.302585093,3.401197382
0,0,0,3,5,1,0,1.945910149,2.833213344
1,1,0,1,1,1,0,2.302585093,3.218875825
1,1,0,4,5,1,0,2.079441542,2.995732274
1,1,1,5,1,1,1,2.833213344,4.248495242
1,0,0,2,11,1,1,0.693147181,1.609437912
1,1,0,3,5,1,0,3.970291914,3.850147602
1,0,0,4,5,1,0,2.708050201,2.708050201
0,0,0,3,0,0,0,0,0
1,1,0,4,1,1,1,0.693147181,2.302585093
0,0,0,2,11,1,1,1.386294361,1.945910149
0,0,0,4,0,0,1,0,0
1,1,0,5,10,1,0,1.791759469,2.63905733
1,1,0,4,7,1,1,1.386294361,2.995732274
1,1,0,4,5,1,0,2.197224577,3.401197382
0,0,1,5,7,1,0,1.098612289,2.302585093
1,1,0,1,5,1,0,2.302585093,3.555348061
1,1,0,4,9,1,0,3.80666249,4.094344562
1,0,1,5,5,1,1,2.833213344,3.80666249
1,0,0,2,4,1,1,0.693147181,1.945910149
0,0,0,3,10,1,0,2.397895273,2.772588722
1,1,0,4,1,1,0,2.708050201,2.708050201
0,0,0,3,0,0,0,0,0
1,0,0,4,4,1,1,2.079441542,3.688879454
0,0,0,2,4,1,1,2.197224577,3.091042453
0,0,0,4,8,1,1,1.386294361,2.708050201
1,1,0,5,5,1,0,1.609437912,2.302585093
1,1,0,4,1,1,1,2.197224577,4.442651256
1,1,0,4,7,1,0,2.197224577,3.218875825
0,0,1,5,5,1,0,1.098612289,2.302585093
0,1,0,1,1,1,0,2.302585093,3.218875825
0,0,1,5,0,0,1,0,0
1,0,0,2,5,1,1,0,1.609437912
0,0,0,3,5,1,0,2.302585093,2.890371758
1,0,0,4,5,1,0,1.791759469,2.995732274
1,0,0,4,4,1,1,2.197224577,3.688879454
0,0,0,2,4,1,1,1.945910149,2.197224577
0,0,0,4,5,1,1,1.386294361,2.302585093
1,0,0,5,10,1,0,3.17805383,3.091042453
1,0,0,4,4,1,1,0.693147181,1.609437912
1,0,0,4,5,1,0,2.302585093,3.218875825
0,0,1,5,11,1,0,1.098612289,2.302585093
0,0,0,1,8,1,0,1.386294361,2.302585093
0,0,0,4,7,1,0,1.098612289,2.302585093
0,0,1,5,4,1,1,3.496507561,4.248495242
1,0,0,2,1,1,1,0.693147181,2.302585093
0,0,0,3,9,1,0,3.17805383,3.526360525
0,0,0,4,10,1,0,3.401197382,3.401197382
1,1,0,4,5,1,1,1.098612289,2.995732274
0,0,0,2,6,1,1,1.791759469,2.772588722
1,0,0,5,7,1,0,3.80666249,3.688879454
1,0,0,4,4,1,1,1.791759469,1.609437912
1,1,0,4,1,1,0,2.197224577,3.555348061
0,0,1,5,11,1,0,1.098612289,2.302585093
0,0,0,1,5,1,0,1.098612289,2.995732274
0,0,0,4,5,1,0,1.098612289,2.302585093
0,0,1,5,5,1,1,3.496507561,4.248495242
1,0,0,2,11,1,1,0,2.079441542
0,1,0,3,5,1,0,3.218875825,3.761200116
0,0,0,4,5,1,0,3.401197382,3.401197382
1,1,0,4,1,1,1,0.693147181,2.302585093
0,1,0,2,5,1,1,1.609437912,2.397895273
1,1,0,5,3,1,0,0.693147181,2.302585093
1,0,0,4,6,1,1,0.693147181,1.609437912
1,1,0,4,5,1,0,2.197224577,3.401197382
0,0,1,5,5,1,0,1.098612289,2.302585093
0,0,0,1,10,1,0,3.401197382,3.688879454
0,1,0,4,10,1,0,1.386294361,2.302585093
1,0,0,2,4,1,1,0.693147181,1.609437912
0,0,0,4,0,0,0,0,0
1,1,0,4,5,1,1,0.693147181,2.708050201
1,1,0,2,1,1,1,1.609437912,2.397895273
1,1,0,5,5,1,0,1.098612289,1.945910149
1,1,0,4,7,1,1,1.791759469,2.708050201
1,1,0,4,8,1,0,2.708050201,3.401197382
0,0,0,1,5,1,0,1.098612289,3.912023005
0,0,0,4,5,1,0,1.386294361,2.302585093
1,0,0,2,5,1,1,0.693147181,2.302585093
0,1,0,4,1,1,1,0.693147181,2.302585093
1,0,0,2,11,1,1,1.945910149,2.772588722
1,0,0,5,10,1,0,1.609437912,2.302585093
1,1,0,4,5,1,1,0,1.609437912
1,1,0,4,5,1,0,2.708050201,3.688879454
0,1,0,2,1,1,1,0.693147181,2.302585093
0,0,0,4,4,1,1,1.098612289,3.912023005
1,0,0,2,6,1,1,1.945910149,2.708050201
1,0,0,5,7,1,0,1.945910149,2.564949357
1,1,0,4,1,1,1,2.564949357,3.688879454
0,0,0,4,10,1,0,2.197224577,2.995732274
0,1,0,2,5,1,1,0.693147181,1.609437912
0,0,0,4,5,1,1,2.302585093,3.912023005
1,1,0,2,5,1,1,1.609437912,2.397895273
1,1,0,5,10,1,0,1.609437912,2.48490665
1,1,0,4,10,1,1,2.397895273,3.688879454
0,0,0,4,5,1,0,2.197224577,2.995732274
0,0,0,2,0,0,1,0,0
0,0,0,4,0,0,1,0,0
1,1,0,2,1,1,1,1.609437912,2.302585093
1,1,0,5,5,1,0,1.386294361,2.079441542
1,0,0,4,5,1,1,2.772588722,3.401197382
0,1,0,4,10,1,0,2.079441542,2.995732274
1,0,0,2,8,1,1,1.945910149,2.48490665
0,0,0,5,9,1,0,1.098612289,2.708050201
0,0,0,4,0,0,1,0,0
0,0,0,4,5,1,0,2.079441542,2.995732274
1,0,0,2,6,1,1,1.945910149,2.564949357
0,0,0,5,5,1,0,1.609437912,2.995732274
0,0,0,4,10,1,1,3.17805383,3.912023005
1,1,0,2,5,1,1,1.609437912,2.397895273
0,1,0,5,10,1,0,1.386294361,2.302585093
0,0,0,4,10,1,1,2.944438979,3.688879454
1,1,0,2,1,1,1,1.609437912,2.397895273
0,0,0,5,5,1,0,2.079441542,2.708050201
0,0,0,4,10,1,1,2.890371758,3.688879454
1,1,0,2,10,1,1,1.386294361,1.945910149
0,0,0,4,5,1,1,3.218875825,4.007333185
1,0,0,2,5,1,1,1.945910149,2.708050201
1,1,0,2,11,1,1,2.079441542,2.833213344
1,0,0,2,11,1,1,1.386294361,2.197224577
1,0,0,2,5,1,1,2.302585093,2.833213344
1,1,0,2,1,1,1,1.609437912,2.48490665
1,0,1,3,10,1,0,4.753590191,4.49980967
1,1,0,4,1,1,1,2.564949357,3.555348061
1,1,0,4,1,1,1,1.945910149,3.218875825
1,1,1,3,1,1,1,2.48490665,3.33220451
1,0,0,5,7,1,0,1.791759469,1.098612289
1,1,0,3,1,1,0,1.945910149,2.995732274
1,1,0,4,1,1,0,2.63905733,3.33220451
1,0,1,1,0,0,0,0,0
1,0,0,4,0,0,0,0,0
1,1,0,4,1,1,0,2.833213344,2.995732274
1,1,0,4,1,1,1,1.609437912,2.079441542
1,1,0,3,1,1,0,3.555348061,3.688879454
1,1,0,2,1,1,0,1.098612289,2.708050201
1,1,0,1,4,1,1,0.693147181,2.302585093
1,0,0,4,0,0,1,0,0
1,1,0,4,1,1,0,1.386294361,2.890371758
1,0,1,3,10,1,0,4.941642423,4.787491743
1,0,0,4,4,1,1,2.48490665,3.218875825
1,1,0,4,5,1,1,1.945910149,3.555348061
1,1,1,3,5,1,1,2.564949357,2.995732274
1,0,0,5,8,1,0,1.791759469,2.890371758
1,0,0,3,5,1,0,1.945910149,2.995732274
1,1,0,4,5,1,0,2.63905733,2.995732274
1,1,1,1,1,1,0,2.197224577,2.995732274
1,0,0,4,10,1,0,1.791759469,3.401197382
1,1,0,4,5,1,0,2.833213344,3.218875825
1,1,0,4,5,1,1,1.791759469,2.302585093
1,1,0,3,5,1,0,3.401197382,4.094344562
1,0,0,2,5,1,0,1.098612289,2.708050201
1,0,0,1,5,1,1,0.693147181,2.302585093
1,0,0,4,1,1,1,3.36729583,3.828641396
1,1,0,4,5,1,0,0.693147181,1.098612289
1,0,1,3,5,1,0,3.433987204,3.688879454
1,0,0,4,4,1,1,2.397895273,3.401197382
1,1,0,4,1,1,1,1.945910149,2.995732274
1,1,1,3,1,1,1,2.302585093,3.218875825
1,0,0,5,8,1,0,1.386294361,2.772588722
1,1,0,3,8,1,0,1.386294361,2.302585093
1,1,0,4,1,1,0,2.772588722,2.995732274
1,1,1,1,6,1,0,2.302585093,3.218875825
1,0,0,4,5,1,0,1.791759469,3.401197382
1,1,0,4,1,1,0,2.890371758,2.995732274
1,1,0,4,1,1,1,1.609437912,2.302585093
1,1,0,3,1,1,0,3.401197382,3.555348061
1,0,0,2,4,1,0,0.693147181,2.302585093
1,0,0,1,4,1,1,2.302585093,3.401197382
1,0,0,4,5,1,1,3.36729583,3.63758616
1,1,0,4,1,1,0,1.098612289,3.091042453
1,1,1,3,4,1,0,0.693147181,2.302585093
1,0,0,4,6,1,1,0,1.609437912
1,0,0,4,4,1,1,2.302585093,2.995732274
1,0,1,3,4,1,1,1.609437912,2.708050201
1,0,0,5,10,1,0,2.48490665,2.63905733
1,1,0,3,1,1,0,1.609437912,2.708050201
1,1,0,4,5,1,0,2.708050201,2.995732274
1,0,1,1,8,1,0,2.197224577,3.555348061
1,1,0,4,10,1,0,3.295836866,4.49980967
1,1,0,4,5,1,0,2.833213344,3.17805383
1,1,0,4,8,1,1,2.708050201,2.708050201
1,0,0,3,4,1,0,1.609437912,2.995732274
1,0,0,2,5,1,0,1.098612289,2.302585093
1,0,0,1,5,1,1,2.302585093,3.218875825
1,0,0,4,0,0,1,0,0
1,1,0,4,5,1,0,0.693147181,2.63905733
1,1,1,3,10,1,0,0.693147181,2.302585093
1,1,0,4,5,1,1,2.564949357,3.555348061
1,0,0,4,6,1,1,2.302585093,2.995732274
1,0,1,3,4,1,1,1.609437912,2.995732274
1,0,0,5,8,1,0,1.791759469,2.197224577
1,0,0,3,5,1,0,1.945910149,3.218875825
1,1,0,4,1,1,0,2.397895273,3.218875825
1,0,1,1,5,1,0,1.945910149,2.708050201
1,1,0,4,5,1,0,1.791759469,2.995732274
1,1,0,4,1,1,0,2.708050201,3.135494216
1,1,0,4,5,1,1,2.708050201,2.995732274
1,0,0,3,6,1,0,1.609437912,3.401197382
1,1,0,2,1,1,0,0.693147181,2.708050201
1,0,0,1,4,1,1,1.098612289,2.302585093
